               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.035866,            0.022227,           0.0083504,             0.86297,             0.77484,             0.87773,             0.56423,            0.026674,            0.011847,           0.0089488,           0.0048506,           0.0048506,           0.0048506
                  37,            0.036426,            0.021719,           0.0086031,              0.8584,             0.83528,              0.8797,             0.57896,            0.027492,             0.01168,           0.0084832,            0.004842,            0.004842,            0.004842
                  38,            0.036299,            0.022382,           0.0085783,             0.89154,             0.67731,             0.80361,             0.51091,            0.029173,            0.013355,            0.010702,           0.0048332,           0.0048332,           0.0048332
                  39,            0.035812,            0.021299,           0.0089532,             0.77228,             0.77115,             0.78886,             0.51303,            0.029888,            0.012716,            0.011089,           0.0048242,           0.0048242,           0.0048242
                  40,            0.035912,            0.021822,            0.008212,             0.75794,             0.79089,             0.82157,             0.53513,            0.027826,            0.012215,            0.010703,           0.0048149,           0.0048149,           0.0048149
                  41,            0.035544,            0.021148,           0.0083471,             0.88629,              0.7421,              0.8435,             0.54919,            0.027372,            0.012555,           0.0089166,           0.0048055,           0.0048055,           0.0048055
                  42,            0.035414,            0.021054,           0.0082563,             0.87738,             0.83613,             0.89888,             0.60255,            0.025994,            0.011775,           0.0073679,           0.0047958,           0.0047958,           0.0047958
                  43,            0.035543,             0.02141,           0.0083403,             0.85851,             0.82952,              0.8871,             0.59329,            0.026218,            0.011619,           0.0076778,           0.0047859,           0.0047859,           0.0047859
                  44,            0.034922,            0.021299,           0.0079704,              0.8358,             0.84022,             0.88559,             0.60455,            0.025959,            0.011814,           0.0078596,           0.0047757,           0.0047757,           0.0047757
                  45,            0.034756,            0.021073,           0.0079599,             0.89276,             0.77505,             0.88191,             0.57202,            0.026506,            0.012074,           0.0084037,           0.0047654,           0.0047654,           0.0047654
                  46,            0.034641,            0.021207,           0.0077122,             0.89571,             0.84971,             0.92122,             0.61473,            0.025978,            0.011154,           0.0066126,           0.0047548,           0.0047548,           0.0047548
                  47,            0.034441,            0.021268,           0.0076154,             0.91498,             0.76413,             0.88681,             0.58898,            0.026794,             0.01152,           0.0072584,            0.004744,            0.004744,            0.004744
                  48,            0.035341,            0.021643,           0.0077663,             0.87604,             0.86596,             0.90595,             0.61209,            0.025622,             0.01137,           0.0066855,           0.0047329,           0.0047329,           0.0047329
                  49,            0.034721,            0.021203,           0.0072451,             0.86106,             0.84064,             0.89456,             0.59723,            0.026684,            0.011644,           0.0073954,           0.0047217,           0.0047217,           0.0047217
                  50,            0.033861,            0.020687,           0.0073721,             0.90038,             0.86279,              0.9231,             0.62109,            0.025864,            0.011374,           0.0057071,           0.0047102,           0.0047102,           0.0047102
                  51,            0.033353,            0.020463,           0.0068443,             0.90099,             0.82122,             0.90085,             0.60356,            0.026175,            0.011589,            0.006734,           0.0046986,           0.0046986,           0.0046986
                  52,            0.034153,            0.021029,           0.0072152,             0.90525,             0.84253,             0.90381,             0.61574,            0.025585,            0.011743,           0.0062701,           0.0046867,           0.0046867,           0.0046867
                  53,            0.033842,            0.020951,           0.0069519,             0.90073,             0.79667,             0.88723,             0.60589,            0.025203,             0.01159,           0.0067675,           0.0046746,           0.0046746,           0.0046746
                  54,            0.034269,            0.020824,           0.0070173,             0.88215,              0.8249,             0.89917,             0.60085,            0.026067,            0.011645,           0.0065327,           0.0046623,           0.0046623,           0.0046623
                  55,             0.03356,            0.020608,           0.0067788,             0.90877,             0.81875,             0.89674,             0.61692,            0.025748,             0.01157,           0.0060296,           0.0046497,           0.0046497,           0.0046497
                  56,            0.033627,             0.02055,           0.0069586,              0.8653,             0.82643,             0.90158,             0.60851,            0.025957,            0.011411,           0.0068533,            0.004637,            0.004637,            0.004637
                  57,            0.033844,            0.020959,           0.0070938,             0.92468,             0.83703,             0.91656,             0.62532,            0.025572,            0.011343,           0.0059725,           0.0046241,           0.0046241,           0.0046241
                  58,            0.033902,            0.020699,           0.0067732,             0.91935,             0.83266,             0.91997,             0.62721,            0.024825,            0.011026,           0.0059164,           0.0046109,           0.0046109,           0.0046109
                  59,            0.033375,            0.020205,           0.0069656,             0.89868,              0.8564,             0.93206,             0.64679,            0.024893,            0.010851,           0.0055254,           0.0045976,           0.0045976,           0.0045976
                  60,            0.033501,             0.02063,           0.0067209,             0.92177,               0.829,             0.91172,             0.62462,            0.025377,            0.010973,           0.0062277,            0.004584,            0.004584,            0.004584
                  61,            0.033075,            0.019828,            0.006752,              0.8963,             0.88322,             0.92582,             0.62536,            0.025565,            0.011081,            0.005411,           0.0045703,           0.0045703,           0.0045703
                  62,            0.032761,            0.019955,           0.0066345,             0.88516,             0.87257,             0.92242,             0.63225,            0.025442,            0.011086,           0.0058859,           0.0045563,           0.0045563,           0.0045563
                  63,            0.032994,            0.019928,           0.0063419,             0.90228,             0.86224,               0.924,             0.62798,            0.024839,            0.010952,           0.0052882,           0.0045422,           0.0045422,           0.0045422
                  64,            0.032497,            0.019844,           0.0065768,             0.87157,             0.88016,             0.93044,             0.63673,            0.024931,            0.010906,           0.0050967,           0.0045278,           0.0045278,           0.0045278
                  65,            0.033019,             0.02053,           0.0062296,             0.92591,             0.85956,             0.93052,             0.64436,            0.024809,            0.010724,           0.0049907,           0.0045133,           0.0045133,           0.0045133
                  66,            0.033069,            0.020392,           0.0061824,             0.92672,             0.83825,             0.92041,             0.63756,            0.024859,            0.011353,           0.0049197,           0.0044986,           0.0044986,           0.0044986
                  67,            0.032329,            0.019485,            0.006666,             0.93204,             0.86731,             0.93597,             0.64463,            0.024703,            0.010743,           0.0049171,           0.0044837,           0.0044837,           0.0044837
                  68,            0.032382,            0.019747,           0.0062597,              0.9059,              0.8646,             0.92847,             0.64762,            0.024548,            0.010823,           0.0050834,           0.0044685,           0.0044685,           0.0044685
                  69,            0.032502,            0.019839,           0.0060889,             0.94041,             0.82969,             0.92862,             0.64062,            0.024598,             0.01081,           0.0050841,           0.0044532,           0.0044532,           0.0044532
                  70,            0.032604,            0.020067,           0.0061477,             0.91597,             0.83445,             0.91264,             0.62617,            0.025001,            0.011221,           0.0059169,           0.0044377,           0.0044377,           0.0044377
                  71,            0.032588,             0.01996,           0.0062675,             0.90246,             0.86128,             0.93017,             0.64023,            0.024592,             0.01085,           0.0056298,           0.0044221,           0.0044221,           0.0044221
                  72,            0.032293,            0.019582,           0.0063772,             0.93983,             0.85896,             0.92952,             0.64613,            0.024452,            0.010915,           0.0049175,           0.0044062,           0.0044062,           0.0044062
                  73,            0.032292,            0.019455,           0.0064236,              0.9007,             0.87359,             0.93298,             0.64955,            0.024761,            0.010915,           0.0053326,           0.0043902,           0.0043902,           0.0043902
                  74,            0.031891,             0.01978,           0.0057926,             0.86982,              0.8868,              0.9205,             0.63702,             0.02414,            0.010578,           0.0060844,            0.004374,            0.004374,            0.004374
                  75,            0.032053,            0.019971,           0.0062697,             0.88822,             0.86988,             0.92129,             0.63425,            0.024727,            0.010981,           0.0057339,           0.0043576,           0.0043576,           0.0043576
                  76,            0.031804,            0.019313,           0.0061259,              0.9331,             0.84677,             0.93186,             0.65323,            0.023583,            0.010705,           0.0055866,            0.004341,            0.004341,            0.004341
                  77,            0.032285,            0.019217,           0.0061034,             0.88867,             0.86149,             0.92124,             0.64929,            0.024094,            0.010835,           0.0056994,           0.0043242,           0.0043242,           0.0043242
                  78,            0.031323,            0.019134,           0.0056224,             0.92184,             0.85484,             0.91936,             0.64043,            0.024161,            0.010767,           0.0054218,           0.0043073,           0.0043073,           0.0043073
                  79,            0.031508,            0.019193,           0.0060029,             0.90462,             0.86093,             0.91113,             0.63129,            0.024525,             0.01116,           0.0052084,           0.0042902,           0.0042902,           0.0042902
                  80,            0.031428,            0.018938,           0.0058095,             0.90087,             0.86359,              0.9198,             0.64088,            0.024024,            0.011222,           0.0050485,            0.004273,            0.004273,            0.004273
                  81,            0.031253,            0.018527,             0.00584,             0.92602,             0.86033,             0.92402,             0.65635,            0.023657,            0.011167,           0.0050485,           0.0042555,           0.0042555,           0.0042555
                  82,            0.031444,            0.019127,           0.0057243,             0.90568,             0.88088,             0.91582,             0.63848,            0.024317,            0.011137,           0.0049352,            0.004238,            0.004238,            0.004238
                  83,            0.031321,             0.01902,           0.0056168,             0.91803,              0.8976,             0.94016,             0.67052,            0.023296,            0.010639,           0.0044739,           0.0042202,           0.0042202,           0.0042202
                  84,            0.031164,            0.018836,           0.0055554,             0.92818,             0.90271,             0.94183,             0.66708,            0.023282,            0.010576,           0.0043761,           0.0042023,           0.0042023,           0.0042023
                  85,            0.031442,            0.018966,           0.0056605,             0.89812,             0.87524,             0.92873,             0.64969,            0.023656,            0.010668,           0.0053081,           0.0041842,           0.0041842,           0.0041842
                  86,            0.030623,            0.018573,           0.0052277,             0.92724,             0.88225,             0.93537,             0.65857,            0.023522,            0.010605,           0.0044704,            0.004166,            0.004166,            0.004166
                  87,            0.031179,            0.019004,            0.005492,             0.93808,             0.87119,             0.94543,             0.66453,            0.023151,            0.010379,           0.0042732,           0.0041476,           0.0041476,           0.0041476
                  88,            0.030852,            0.018445,           0.0055026,             0.93431,              0.8629,             0.94287,             0.67556,            0.023521,            0.010677,           0.0048106,            0.004129,            0.004129,            0.004129
                  89,            0.030987,            0.019004,           0.0054237,             0.94045,             0.86694,             0.93544,             0.66405,            0.023402,            0.010651,           0.0047284,           0.0041103,           0.0041103,           0.0041103
