               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.033104,            0.020907,            0.007649,             0.81977,             0.79571,             0.85755,             0.58662,            0.026207,            0.011816,           0.0091588,           0.0048506,           0.0048506,           0.0048506
                  37,            0.032812,            0.019942,           0.0072218,             0.89516,             0.80233,             0.89021,             0.60738,            0.025022,            0.011328,           0.0071997,            0.004842,            0.004842,            0.004842
                  38,            0.032674,            0.019752,           0.0075473,              0.8557,             0.84601,             0.89075,             0.61616,            0.024855,            0.011237,           0.0071892,           0.0048332,           0.0048332,           0.0048332
                  39,            0.032702,            0.020322,           0.0074808,             0.88849,             0.81674,             0.88704,             0.61184,            0.025368,            0.010798,           0.0069123,           0.0048242,           0.0048242,           0.0048242
                  40,            0.032809,            0.019664,           0.0075751,             0.89538,             0.79038,             0.88939,             0.60407,            0.025427,            0.011145,           0.0075007,           0.0048149,           0.0048149,           0.0048149
                  41,            0.032395,            0.019605,           0.0073997,             0.88928,             0.79833,             0.88698,             0.61429,              0.0248,            0.010939,           0.0076639,           0.0048055,           0.0048055,           0.0048055
                  42,            0.032809,            0.019611,            0.007327,             0.86041,              0.7915,             0.85946,             0.58741,            0.025491,            0.011627,           0.0077581,           0.0047958,           0.0047958,           0.0047958
                  43,            0.031851,            0.019343,           0.0071029,             0.83747,             0.79745,             0.85598,             0.58741,            0.025527,            0.011941,           0.0085087,           0.0047859,           0.0047859,           0.0047859
                  44,            0.031866,             0.01977,           0.0072028,              0.8731,             0.81756,             0.87988,             0.61768,            0.025276,            0.011089,           0.0074278,           0.0047757,           0.0047757,           0.0047757
                  45,            0.032117,            0.019711,           0.0069617,             0.89286,             0.77846,             0.87329,             0.60145,            0.025187,            0.011543,            0.007461,           0.0047654,           0.0047654,           0.0047654
                  46,             0.03228,            0.020188,           0.0070709,             0.88501,             0.79776,             0.89568,             0.61874,            0.025089,            0.011179,           0.0073191,           0.0047548,           0.0047548,           0.0047548
                  47,            0.031861,            0.019134,           0.0068803,             0.94537,             0.83235,             0.92735,             0.65167,            0.024179,            0.010605,            0.005726,            0.004744,            0.004744,            0.004744
                  48,            0.031677,             0.01965,           0.0066822,             0.90878,             0.84001,             0.90397,             0.62928,            0.024004,            0.010717,           0.0062927,           0.0047329,           0.0047329,           0.0047329
                  49,            0.031197,            0.019781,           0.0065337,             0.90765,             0.83242,             0.91894,             0.63865,            0.023511,            0.010578,            0.006547,           0.0047217,           0.0047217,           0.0047217
                  50,            0.031034,            0.019679,           0.0063004,             0.89743,             0.83182,             0.91363,              0.6355,            0.024291,            0.010862,           0.0058726,           0.0047102,           0.0047102,           0.0047102
                  51,            0.031471,            0.019724,           0.0066568,             0.88763,             0.86993,             0.92837,             0.65381,            0.023551,            0.010518,           0.0053724,           0.0046986,           0.0046986,           0.0046986
                  52,             0.03163,            0.019632,           0.0067504,             0.85598,             0.86156,             0.91316,               0.641,            0.023631,            0.010677,           0.0064212,           0.0046867,           0.0046867,           0.0046867
                  53,            0.030878,             0.01934,            0.006322,             0.86684,             0.87508,             0.92148,             0.64633,            0.023024,            0.010331,           0.0060969,           0.0046746,           0.0046746,           0.0046746
                  54,            0.031563,             0.01963,           0.0062806,             0.89968,             0.83928,             0.91949,             0.64941,             0.02376,            0.010185,           0.0059826,           0.0046623,           0.0046623,           0.0046623
                  55,            0.030839,            0.019401,            0.006492,             0.90746,             0.83589,             0.92131,             0.65486,             0.02377,            0.010556,           0.0058588,           0.0046497,           0.0046497,           0.0046497
                  56,            0.031038,            0.019185,           0.0065821,             0.91359,              0.8448,             0.91563,             0.64843,            0.023406,            0.010612,           0.0061363,            0.004637,            0.004637,            0.004637
                  57,            0.031038,            0.019309,           0.0063548,             0.89776,             0.86626,             0.91375,             0.65048,             0.02372,            0.010631,            0.005826,           0.0046241,           0.0046241,           0.0046241
                  58,            0.030829,            0.019224,           0.0060664,             0.92133,             0.84049,             0.92375,             0.65993,            0.023473,            0.010388,           0.0055923,           0.0046109,           0.0046109,           0.0046109
                  59,            0.031455,            0.019291,           0.0062456,             0.89187,               0.804,             0.88966,             0.63326,            0.024211,            0.010928,           0.0072996,           0.0045976,           0.0045976,           0.0045976
                  60,            0.030203,            0.019398,            0.005879,             0.85834,             0.87068,             0.90744,             0.64196,            0.024063,            0.010889,           0.0060494,            0.004584,            0.004584,            0.004584
                  61,            0.030671,            0.019148,           0.0059658,             0.89604,             0.87082,             0.92851,             0.66033,            0.023655,            0.010319,            0.005613,           0.0045703,           0.0045703,           0.0045703
                  62,            0.030449,            0.019524,           0.0056646,             0.91309,             0.84076,             0.92624,             0.65422,            0.023253,            0.010125,           0.0065625,           0.0045563,           0.0045563,           0.0045563
                  63,             0.03064,            0.018963,           0.0060625,             0.89296,             0.84995,             0.90694,             0.64903,             0.02389,            0.010585,           0.0065717,           0.0045422,           0.0045422,           0.0045422
                  64,            0.030597,            0.019023,           0.0062288,             0.89281,             0.83802,             0.91308,             0.65446,            0.023578,            0.010583,           0.0058737,           0.0045278,           0.0045278,           0.0045278
                  65,            0.029972,            0.018551,           0.0058085,             0.90085,             0.87737,             0.92688,             0.66167,            0.023681,            0.010458,           0.0050365,           0.0045133,           0.0045133,           0.0045133
                  66,              0.0305,            0.018832,            0.006119,              0.9455,             0.82458,             0.92425,             0.66375,            0.023334,            0.010569,            0.004995,           0.0044986,           0.0044986,           0.0044986
                  67,            0.030103,            0.018543,           0.0060309,             0.88578,             0.85955,             0.91843,             0.65644,            0.023703,            0.010758,             0.00597,           0.0044837,           0.0044837,           0.0044837
                  68,            0.029934,             0.01872,           0.0057166,             0.88585,             0.85402,             0.91939,             0.65583,            0.023706,            0.010727,           0.0059903,           0.0044685,           0.0044685,           0.0044685
                  69,            0.029767,            0.018517,           0.0055897,             0.88093,             0.84731,              0.9148,             0.65064,            0.023555,            0.010416,           0.0064361,           0.0044532,           0.0044532,           0.0044532
                  70,            0.029818,            0.018447,           0.0056673,             0.93331,             0.84347,             0.93302,             0.66958,            0.022652,            0.010511,           0.0051088,           0.0044377,           0.0044377,           0.0044377
                  71,            0.029702,            0.018318,           0.0055203,             0.91964,             0.87775,              0.9376,             0.68422,            0.022907,            0.010228,           0.0049034,           0.0044221,           0.0044221,           0.0044221
                  72,            0.029753,            0.018803,           0.0053491,             0.88439,             0.90876,             0.94177,              0.6779,            0.022602,            0.010202,           0.0044417,           0.0044062,           0.0044062,           0.0044062
                  73,            0.029949,            0.018482,           0.0056947,             0.87602,             0.88004,             0.92314,             0.66505,            0.022961,            0.010308,           0.0053795,           0.0043902,           0.0043902,           0.0043902
                  74,            0.029436,            0.018603,           0.0052111,             0.91585,             0.88768,              0.9378,             0.67965,            0.022449,             0.01032,           0.0047194,            0.004374,            0.004374,            0.004374
                  75,             0.02977,            0.018853,           0.0053357,             0.90079,             0.87714,              0.9326,             0.67403,            0.022857,            0.010294,           0.0049735,           0.0043576,           0.0043576,           0.0043576
                  76,            0.029314,            0.017918,           0.0054314,             0.90782,             0.87902,             0.93289,             0.66065,            0.023107,                0.01,             0.00532,            0.004341,            0.004341,            0.004341
                  77,            0.029568,            0.018089,           0.0058083,             0.91888,             0.88559,             0.94122,             0.67521,             0.02251,             0.01004,           0.0045855,           0.0043242,           0.0043242,           0.0043242
                  78,            0.029097,            0.018635,           0.0053111,             0.91888,             0.85881,             0.92957,             0.66752,            0.022964,            0.010299,           0.0049808,           0.0043073,           0.0043073,           0.0043073
                  79,            0.029678,            0.018406,           0.0050157,             0.91269,             0.85063,             0.92657,             0.66465,            0.023346,            0.010461,           0.0050631,           0.0042902,           0.0042902,           0.0042902
                  80,            0.029356,             0.01863,           0.0051941,             0.91791,             0.88314,              0.9394,             0.67672,            0.022735,           0.0099106,           0.0046434,            0.004273,            0.004273,            0.004273
                  81,             0.02921,            0.017964,           0.0053595,             0.93467,             0.88344,             0.94761,             0.68925,            0.022643,            0.010178,           0.0044591,           0.0042555,           0.0042555,           0.0042555
                  82,            0.028641,            0.017975,           0.0050959,             0.92664,             0.88328,             0.94686,             0.69096,            0.022076,            0.010028,           0.0042975,            0.004238,            0.004238,            0.004238
                  83,            0.029364,            0.018453,           0.0055393,             0.96345,             0.86099,             0.95089,             0.69874,               0.022,           0.0098924,            0.004573,           0.0042202,           0.0042202,           0.0042202
                  84,            0.028491,            0.017487,           0.0048504,             0.92554,             0.86594,             0.93766,             0.67344,             0.02247,            0.010025,           0.0053227,           0.0042023,           0.0042023,           0.0042023
                  85,            0.029096,            0.017778,           0.0051277,             0.93122,             0.87794,             0.93901,             0.68754,              0.0222,           0.0098083,            0.005076,           0.0041842,           0.0041842,           0.0041842
                  86,            0.029022,            0.018003,           0.0052519,              0.9549,             0.83957,             0.93365,             0.68251,            0.022563,           0.0099632,           0.0050368,            0.004166,            0.004166,            0.004166
                  87,            0.028811,            0.017505,           0.0048418,             0.90747,             0.88165,             0.93888,             0.68692,            0.022804,            0.010083,           0.0060767,           0.0041476,           0.0041476,           0.0041476
                  88,            0.029075,            0.017953,           0.0054632,             0.95269,             0.87171,             0.94704,             0.69455,            0.022249,            0.010146,           0.0039843,            0.004129,            0.004129,            0.004129
                  89,            0.028487,            0.017631,           0.0049182,             0.93458,             0.88262,             0.94693,              0.6892,            0.022406,            0.010182,           0.0039203,           0.0041103,           0.0041103,           0.0041103
                  90,            0.028363,            0.018171,           0.0049263,             0.94599,             0.84712,             0.92485,             0.67652,            0.022427,            0.010533,            0.004891,           0.0040915,           0.0040915,           0.0040915
                  91,            0.028841,            0.017857,           0.0051345,             0.94646,              0.9049,             0.95432,             0.70132,            0.022888,            0.010098,           0.0035842,           0.0040725,           0.0040725,           0.0040725
                  92,            0.028775,            0.017698,           0.0049279,             0.92849,             0.88024,             0.94064,              0.6882,             0.02187,            0.010415,           0.0046561,           0.0040534,           0.0040534,           0.0040534
                  93,            0.028378,            0.017696,           0.0047222,             0.93137,             0.88813,             0.94208,             0.69624,            0.021706,            0.010204,           0.0044413,           0.0040341,           0.0040341,           0.0040341
                  94,            0.028355,            0.017457,           0.0049343,             0.92401,             0.90485,              0.9467,             0.69274,            0.022138,            0.010096,           0.0041578,           0.0040147,           0.0040147,           0.0040147
                  95,            0.028201,             0.01766,           0.0045107,             0.94889,             0.90905,             0.95168,              0.6999,            0.022021,           0.0098104,            0.003978,           0.0039951,           0.0039951,           0.0039951
                  96,             0.02834,            0.017323,           0.0045679,              0.9371,             0.87055,             0.94655,             0.69513,            0.022229,           0.0099552,           0.0044607,           0.0039754,           0.0039754,           0.0039754
                  97,            0.028271,            0.017617,           0.0047704,              0.9507,             0.88276,             0.94714,             0.69144,            0.021987,            0.010115,           0.0040699,           0.0039556,           0.0039556,           0.0039556
                  98,            0.027871,            0.017107,           0.0044354,             0.92879,             0.88872,             0.93486,              0.6863,            0.022323,            0.010323,           0.0046118,           0.0039357,           0.0039357,           0.0039357
                  99,            0.028447,            0.017519,           0.0051384,             0.93478,              0.8951,             0.94428,             0.69717,            0.021882,            0.010117,           0.0044648,           0.0039156,           0.0039156,           0.0039156
                 100,              0.0279,            0.017536,           0.0044822,             0.92628,             0.90571,             0.94854,             0.69214,            0.022078,           0.0099938,           0.0040406,           0.0038953,           0.0038953,           0.0038953
                 101,            0.028104,            0.017265,           0.0047179,             0.93027,             0.88753,             0.95105,             0.70441,            0.021959,            0.010139,            0.004038,            0.003875,            0.003875,            0.003875
                 102,              0.0279,            0.017365,            0.004627,              0.9205,             0.92333,             0.94782,             0.71191,            0.021443,           0.0099043,           0.0039372,           0.0038545,           0.0038545,           0.0038545
                 103,            0.028071,            0.017353,           0.0042829,             0.95259,             0.88299,             0.94837,             0.70681,            0.021605,           0.0099743,           0.0040921,           0.0038339,           0.0038339,           0.0038339
                 104,            0.027752,            0.016986,           0.0046671,             0.93105,             0.88454,             0.94333,             0.69699,            0.021918,            0.009981,            0.005012,           0.0038132,           0.0038132,           0.0038132
                 105,            0.027518,            0.016965,           0.0046424,             0.94188,             0.89662,             0.95549,             0.71487,            0.021678,           0.0097206,           0.0040874,           0.0037924,           0.0037924,           0.0037924
                 106,             0.02818,            0.017419,           0.0046512,             0.91268,             0.90977,             0.94144,             0.69776,            0.021933,           0.0098967,           0.0045814,           0.0037715,           0.0037715,           0.0037715
                 107,            0.027825,            0.016989,           0.0043075,             0.93103,               0.889,             0.94966,             0.70809,            0.021513,           0.0097646,           0.0042517,           0.0037504,           0.0037504,           0.0037504
                 108,            0.027577,            0.016978,            0.004719,             0.94861,             0.89468,              0.9563,             0.71855,            0.021375,           0.0098465,           0.0038405,           0.0037293,           0.0037293,           0.0037293
                 109,            0.027449,            0.016921,           0.0043541,             0.93532,             0.88576,             0.95298,             0.71208,            0.021321,            0.010143,           0.0043055,            0.003708,            0.003708,            0.003708
                 110,              0.0272,            0.016359,           0.0043594,             0.94407,             0.89872,             0.95008,             0.69996,             0.02186,           0.0098751,           0.0042725,           0.0036866,           0.0036866,           0.0036866
                 111,              0.0273,            0.017121,            0.004075,             0.94202,             0.90604,             0.94213,             0.69892,            0.021174,           0.0097445,           0.0046206,           0.0036652,           0.0036652,           0.0036652
                 112,            0.027196,            0.016661,           0.0044434,             0.94909,             0.91079,             0.94835,             0.70478,             0.02127,           0.0098345,            0.004005,           0.0036436,           0.0036436,           0.0036436
                 113,            0.027943,            0.017252,           0.0044661,             0.93296,             0.89524,             0.94401,             0.70079,            0.021881,            0.009807,           0.0042741,           0.0036219,           0.0036219,           0.0036219
                 114,            0.027208,            0.017697,           0.0041448,              0.9121,             0.92025,             0.95431,              0.7096,             0.02097,           0.0095742,           0.0041389,           0.0036001,           0.0036001,           0.0036001
                 115,            0.027449,            0.016923,           0.0044142,             0.94147,              0.9241,             0.95331,             0.70655,            0.021343,           0.0098247,           0.0037083,           0.0035783,           0.0035783,           0.0035783
                 116,            0.027515,            0.016831,           0.0043685,             0.93291,             0.91245,             0.96016,             0.71333,            0.021786,           0.0096489,           0.0039799,           0.0035563,           0.0035563,           0.0035563
                 117,            0.027176,            0.016532,           0.0043578,             0.92311,             0.93309,             0.96199,             0.71966,            0.021623,           0.0097061,           0.0033073,           0.0035343,           0.0035343,           0.0035343
                 118,            0.027214,            0.016936,           0.0039852,             0.93608,              0.8987,             0.95204,             0.71218,            0.021443,           0.0097593,           0.0038931,           0.0035122,           0.0035122,           0.0035122
                 119,            0.027187,            0.016868,           0.0039203,             0.94195,             0.89911,              0.9546,             0.71538,            0.021599,           0.0098091,            0.003696,           0.0034899,           0.0034899,           0.0034899
                 120,            0.027201,            0.016184,           0.0042382,             0.94589,             0.90844,             0.95519,              0.7129,            0.021526,           0.0097817,           0.0037697,           0.0034677,           0.0034677,           0.0034677
                 121,             0.02685,            0.016717,           0.0043161,             0.94596,             0.89019,             0.95721,             0.71974,            0.021165,           0.0096974,            0.003893,           0.0034453,           0.0034453,           0.0034453
                 122,            0.026661,            0.016736,           0.0039864,             0.93731,             0.92153,             0.96112,             0.72796,            0.021187,           0.0096163,           0.0037382,           0.0034228,           0.0034228,           0.0034228
                 123,            0.026908,            0.017209,           0.0041942,              0.9358,             0.91636,             0.95236,             0.71552,            0.021457,           0.0098765,           0.0035897,           0.0034003,           0.0034003,           0.0034003
                 124,            0.026712,            0.016925,           0.0038264,             0.91298,             0.93717,             0.95697,             0.71715,            0.021076,            0.009926,           0.0036492,           0.0033777,           0.0033777,           0.0033777
                 125,            0.026908,            0.016618,           0.0042158,             0.94608,             0.91749,             0.95868,             0.72612,             0.02092,           0.0098647,            0.003416,           0.0033551,           0.0033551,           0.0033551
                 126,             0.02652,            0.016574,           0.0039576,              0.9131,             0.93023,             0.95816,             0.72363,            0.021143,           0.0097427,            0.003509,           0.0033323,           0.0033323,           0.0033323
                 127,            0.026618,            0.016778,            0.003901,             0.93363,             0.91626,              0.9601,             0.72737,            0.020716,            0.009769,           0.0038673,           0.0033096,           0.0033096,           0.0033096
                 128,            0.026593,             0.01684,           0.0042005,              0.9623,             0.88807,             0.96068,             0.71875,            0.021094,           0.0097139,           0.0037795,           0.0032867,           0.0032867,           0.0032867
                 129,            0.026466,            0.016355,           0.0040238,              0.9167,             0.92172,             0.95224,              0.7204,            0.020872,           0.0098499,           0.0039959,           0.0032638,           0.0032638,           0.0032638
                 130,            0.026448,             0.01609,           0.0040292,             0.94835,             0.90775,             0.94856,             0.71672,            0.020969,            0.009985,           0.0035303,           0.0032408,           0.0032408,           0.0032408
                 131,            0.026247,            0.016165,           0.0039056,             0.93929,             0.91984,             0.95449,             0.72758,            0.020974,            0.009832,           0.0038206,           0.0032178,           0.0032178,           0.0032178
                 132,            0.026234,            0.016305,           0.0039084,             0.93722,             0.92352,             0.95461,             0.72052,            0.021325,           0.0098856,           0.0036778,           0.0031947,           0.0031947,           0.0031947
